,Name,Value
0,profitMargins,0.16500999
1,revenueGrowth,0.075
2,operatingMargins,0.1696
3,targetLowPrice,541
4,recommendationKey,strong_buy
5,grossProfits,2107195972000
6,targetMedianPrice,640
7,targetMeanPrice,643.12
8,returnOnEquity,0.119569995
9,targetHighPrice,776
10,totalCash,2328025104384
11,totalDebt,5045936455680
12,totalRevenue,2140426469376
13,totalCashPerShare,260.855
14,revenuePerShare,239.844
15,recommendationMean,1.5
16,enterpriseToRevenue,3.517
17,52WeekChange,0.2590747
18,forwardEps,56.77
19,sharesOutstanding,8924609536
20,bookValue,356.316
21,lastFiscalYearEnd,1648684800
22,heldPercentInstitutions,0.26588
23,netIncomeToCommon,353190805504
24,trailingEps,40.03
25,lastDividendValue,7.1
26,SandP52WeekChange,-0.03393376
27,priceToBook,1.4760774
28,earningsQuarterlyGrowth,-0.007
29,priceToSalesTrailing12Months,2.1929736
30,pegRatio,0.61
31,forwardPE,9.264577
32,regularMarketOpen,533.3
33,twoHundredDayAverage,490.39026
34,payoutRatio,0.17940001
35,regularMarketDayHigh,533.85
36,averageDailyVolume10Day,18230276
37,regularMarketPreviousClose,530.7
38,fiftyDayAverage,487.313
39,open,533.3
40,averageVolume10days,18230276
41,dividendRate,7.1
42,regularMarketDayLow,525
43,trailingPE,13.138897
44,regularMarketVolume,10716851
45,marketCap,4693898559488
46,fiftyTwoWeekHigh,549
47,fiftyTwoWeekLow,401.25
48,dayLow,525
49,dayHigh,533.85
50,regularMarketPrice,525.95
